Kuka_Referential,,,,,,,,,,,,,
conewidth,videoid,x_pos,y_pos,center_xpos,center_ypos,distance(m),correct,incorrect,ambiguous,,,,
45,leftupper2,0.89,-0.23,0.94145,-0.12616,0.1158872215,27,1,2,,,,
45,rightupper1,0.89,-0.04,0.94145,-0.12616,0.1003526188,19,4,7,,,,
45,rightupper2,0.85,-0.1,0.94145,-0.12616,0.09511807452,28,1,1,,,,
45,rightbottom1,0.97,-0.02,0.94145,-0.12616,0.1099320158,18,5,7,,,,
45,rightbottom2,1.03,-0.1,0.94145,-0.12616,0.09233335313,26,0,4,,,,
67.5,leftbottom1,1.03,-0.29,0.94145,-0.12616,0.1862381489,2,25,5,,,,
67.5,leftbottom2,1.06,-0.26,0.94145,-0.12616,0.1787938704,3,22,5,,,,
67.5,leftupper1,0.82,-0.26,0.94145,-0.12616,0.1807297654,27,0,3,,,,
67.5,leftupper2,0.89,-0.3,0.94145,-0.12616,0.181293817,10,6,14,,,,
67.5,rightupper1,0.77,-0.02,0.94145,-0.12616,0.2016557663,4,19,7,,,,
67.5,rightupper2,0.77,-0.1,0.94145,-0.12616,0.173434276,9,3,18,,,,
67.5,rightbottom1,1.07,-0.06,0.94145,-0.12616,0.144576098,28,1,1,,,,
67.5,rightbottom2,0.97,-0.02,0.94145,-0.12616,0.1099320158,12,9,9,,,,
90,leftbottom1,1.07,-0.36,0.94145,-0.12616,0.2668449889,0,28,2,,,,
90,leftbottom2,1.1,-0.32,0.94145,-0.12616,0.2504237371,0,27,3,,,,
90,leftupper1,0.77,-0.3,0.94145,-0.12616,0.2441627492,8,4,18,,,,
90,leftupper2,0.73,-0.23,0.94145,-0.12616,0.2355713227,26,2,2,,,,
90,rightupper1,0.78,-0.09,0.94145,-0.12616,0.1654498356,1,19,10,,,,
90,rightupper2,0.72,0.04,0.94145,-0.12616,0.2768560061,0,28,2,,,,
90,rightbottom1,1.1,-0.01,0.94145,-0.12616,0.1965483353,22,3,3,,,,
90,rightbottom2,1.11,-0.08,0.94145,-0.12616,0.1747565395,23,4,3,,,,
90,pos0,1.025856674,0.0985288362,0.94145,-0.121616,0.2357715749,12,9,9,,,,
90,pos1,1.146939933,-0.1911572355,0.94145,-0.121616,0.2169380002,1,27,2,,,,
90,pos2,0.9316169171,0.0935653061,0.94145,-0.121616,0.2154058588,5,23,2,,,,
Cluttered,,,,,,,,,,,,,
pos0,perspective_corrected,1.070371938,-0.5167756586,0.8046858259,-0.2775508088,0.93446,-0.3944,3,3,24,0.182887552,0.1746283761,0.00825917589
pos1,perspective_corrected,0.9723943277,-0.4285562221,0.8754669673,-0.3412824348,0.93446,-0.3944,5,6,19,0.05104567294,0.0793829556,0.02833728266
pos2,perspective_corrected,0.9463570744,-0.4051121739,0.7746465991,-0.2505033675,0.93446,-0.3944,25,2,3,0.0160090927,0.2150501429,0.1990410502
pos3,perspective_corrected,1.041122033,-0.4904389258,0.8222652448,-0.2933793887,0.93446,-0.3944,2,1,27,0.1435279226,0.1509729347,0.007445012113
pos4,perspective_corrected,1.021223852,-0.4725225228,0.9332817121,-0.3933390648,0.93446,-0.3944,2,25,3,0.1167522783,0.001585542769,0.1151667356
pos5,perspective_corrected,0.9947846176,-0.4487165296,0.8669024068,-0.3335708698,0.93446,-0.3944,2,2,26,0.0811747798,0.09090770858,0.009732928778
pos6,perspective_corrected,1.094919979,-0.5388788141,0.8449276142,-0.3137846777,0.93446,-0.3944,7,8,15,0.2159201996,0.1204777087,0.09544249094
pos7,perspective_corrected,1.007745711,-0.4603867501,0.9059816178,-0.3687579495,0.93446,-0.3944,1,2,27,0.09861565065,0.03832144317,0.06029420748
pos8,perspective_corrected,1.057444122,-0.5051354005,0.8907250393,-0.3550208645,0.93446,-0.3944,2,24,4,0.1654914593,0.05885119455,0.1066402647
